scope_id,league_id,entity_type,entity_id,display_name,local_logo_path,current_source_url,official_source_candidate,current_approval_status,allowed_decisions,operator_decision,source_reviewed,identity_match,source_url_to_record,registry_action,operator_notes,reviewed_by,reviewed_at_local,approval_scope,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
nwsl,nwsl,league,nwsl,National Women's Soccer League,assets/leagues/womens_soccer/nwsl/league_mark.png,https://www.nwslsoccer.com/about-the-nwsl,https://www.nwslsoccer.com/about-the-nwsl,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/about-the-nwsl,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,angel_city_fc,Angel City FC,assets/leagues/womens_soccer/nwsl/teams/angel_city_fc/logo.png,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/index,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,bay_fc,Bay FC,assets/leagues/womens_soccer/nwsl/teams/bay_fc/logo.png,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/index,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,boston_legacy_fc,Boston Legacy FC,assets/leagues/womens_soccer/nwsl/teams/boston_legacy_fc/logo.png,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/index,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,chicago_stars_fc,Chicago Stars FC,assets/leagues/womens_soccer/nwsl/teams/chicago_stars_fc/logo.png,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/index,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,denver_summit_fc,Denver Summit FC,assets/leagues/womens_soccer/nwsl/teams/denver_summit_fc/logo.png,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/index,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,houston_dash,Houston Dash,assets/leagues/womens_soccer/nwsl/teams/houston_dash/logo.png,https://www.nwslsoccer.com/teams/ca3f464d6b794a9087d441d75961403f/houston-dash/index,https://www.nwslsoccer.com/teams/ca3f464d6b794a9087d441d75961403f/houston-dash/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/ca3f464d6b794a9087d441d75961403f/houston-dash/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,kansas_city_current,Kansas City Current,assets/leagues/womens_soccer/nwsl/teams/kansas_city_current/logo.png,https://www.nwslsoccer.com/teams/2c1699409ff84c9eb491aeaca3d3edde/kansas-city-current/index,https://www.nwslsoccer.com/teams/2c1699409ff84c9eb491aeaca3d3edde/kansas-city-current/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/2c1699409ff84c9eb491aeaca3d3edde/kansas-city-current/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,gotham_fc,Gotham FC,assets/leagues/womens_soccer/nwsl/teams/gotham_fc/logo.png,https://www.nwslsoccer.com/teams/c83f2ca05aa84c738b5373f0d2a31b39/gotham-fc/index,https://www.nwslsoccer.com/teams/c83f2ca05aa84c738b5373f0d2a31b39/gotham-fc/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/c83f2ca05aa84c738b5373f0d2a31b39/gotham-fc/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
nwsl,nwsl,team,north_carolina_courage,North Carolina Courage,assets/leagues/womens_soccer/nwsl/teams/north_carolina_courage/logo.png,https://www.nwslsoccer.com/teams/fb41ef4439dd495098cb6d40415767cc/north-carolina-courage/index,https://www.nwslsoccer.com/teams/fb41ef4439dd495098cb6d40415767cc/north-carolina-courage/index,not_approved,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,hold_for_more_evidence,yes,yes,https://www.nwslsoccer.com/teams/fb41ef4439dd495098cb6d40415767cc/north-carolina-courage/index,hold_no_registry_state_change_until_local_logo_asset_exists,Source and identity prefilled for human source-review sweep; local logo asset still required before approval.,Codex source-review prep; Mike manual review still required,2026-06-27 sprint prep,review_only_renderer_womens_soccer_logo_trust_manual_intake,false,false,false,false,false,false
