rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,“It Was A Momentum Changer”: Angel Reese Earns High,The story you need to know.
1,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Tonight in the W 4-Slide Template,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,A’ja Wilson Earns Record 14th Career WNBA Western,The story you need to know.
2,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Tonight in the W 4-Slide Template,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Tonight in the W 4-Slide Template,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Tonight in the W 4-Slide Template,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Tonight in the W 4-Slide Template,“Caitlin Took Always Take Ownership. Stephanie White Never Will”:,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,“Caitlin Took Always Take Ownership. Stephanie White,The story you need to know.
3,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Tonight in the W 4-Slide Template,“Caitlin Took Always Take Ownership. Stephanie White Never Will”:,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Tonight in the W 4-Slide Template,“Caitlin Took Always Take Ownership. Stephanie White Never Will”:,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
3,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Tonight in the W 4-Slide Template,“Caitlin Took Always Take Ownership. Stephanie White Never Will”:,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,1,Hook,Reese Atwood Caps Texas Career with Back-to-Back WCWS,The story you need to know.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,3,Angle,The angle,A milestone worth putting into context.
