post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
2,Mirra Andreeva becomes youngest Roland Garros women’s champion since Monica Seles,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post second,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
3,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
4,Saint Leo wins 2026 NCAA DII softball championship,Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Softball fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
5,Notre Dame Women’s basketball hires former player as assistant coach,Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,Quick hit: Notre Dame Women’s basketball hires former player as assistant coach,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
6,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
7,Full match replay: Undefeated clay streak yields a milestone for Marta Kostyuk,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
8,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
9,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
10,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
