entity_type,entity_id,approval_scope,approval_status,approved_by,approved_at_utc,auto_approval_allowed,render_enabled,publish_ready,notes
league,wsl_england,league_identity,not_approved,,,false,false,false,Manual review required before any use
league,wsl_england,league_mark,not_approved,,,false,false,false,Manual review required before any use
league,wsl_england,source_registry,not_approved,,,false,false,false,Manual review required before source trust changes
league,liga_f_spain,league_identity,not_approved,,,false,false,false,Manual review required before any use
league,liga_f_spain,league_mark,not_approved,,,false,false,false,Manual review required before any use
league,liga_f_spain,source_registry,not_approved,,,false,false,false,Manual review required before source trust changes
league,frauen_bundesliga_germany,league_identity,not_approved,,,false,false,false,Manual review required before any use
league,frauen_bundesliga_germany,league_mark,not_approved,,,false,false,false,Manual review required before any use
league,frauen_bundesliga_germany,source_registry,not_approved,,,false,false,false,Manual review required before source trust changes
league,premiere_ligue_france,league_identity,not_approved,,,false,false,false,Manual review required before any use
league,premiere_ligue_france,league_mark,not_approved,,,false,false,false,Manual review required before any use
league,premiere_ligue_france,source_registry,not_approved,,,false,false,false,Manual review required before source trust changes
league,serie_a_women_italy,league_identity,not_approved,,,false,false,false,Manual review required before any use
league,serie_a_women_italy,league_mark,not_approved,,,false,false,false,Manual review required before any use
league,serie_a_women_italy,source_registry,not_approved,,,false,false,false,Manual review required before source trust changes
team,arsenal_women,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,arsenal_women,team_logo,not_approved,,,false,false,false,Manual review required before any use
team,arsenal_women,team_roster_source,not_approved,,,false,false,false,Manual review required before source trust changes
team,chelsea_women,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,chelsea_women,team_logo,not_approved,,,false,false,false,Manual review required before any use
team,chelsea_women,team_roster_source,not_approved,,,false,false,false,Manual review required before source trust changes
team,manchester_city_women,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,manchester_city_women,team_logo,not_approved,,,false,false,false,Manual review required before any use
team,manchester_city_women,team_roster_source,not_approved,,,false,false,false,Manual review required before source trust changes
team,manchester_united_women,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,manchester_united_women,team_logo,not_approved,,,false,false,false,Manual review required before any use
team,manchester_united_women,team_roster_source,not_approved,,,false,false,false,Manual review required before source trust changes
