league_label,scoreboard_date,matchup,game_state,winner,loser,final_score,headline,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,confidence,result_graphic_ready,source_url
WNBA,20260615,Las Vegas Aces at Dallas Wings,Final,Dallas Wings,Las Vegas Aces,Las Vegas Aces 66 - Dallas Wings 96,Dallas Wings defeat Las Vegas Aces,Jessica Shepard,"PTS 15, REB 15, AST 9, STL 2, FG 4-6",Arike Ogunbowale,"PTS 22, REB 4, AST 7, STL 2, FG 6-16",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856992
WNBA,20260615,Portland Fire at Minnesota Lynx,Final,Minnesota Lynx,Portland Fire,Portland Fire 74 - Minnesota Lynx 107,Minnesota Lynx defeat Portland Fire,Nia Coffey,"PTS 15, REB 5, AST 4, STL 3, BLK 3",Natasha Howard,"PTS 18, REB 6, AST 1, STL 2, FG 6-11",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856993
WNBA,20260615,Los Angeles Sparks at Golden State Valkyries,Final,Golden State Valkyries,Los Angeles Sparks,Los Angeles Sparks 58 - Golden State Valkyries 78,Golden State Valkyries defeat Los Angeles Sparks,Kaila Charles,"PTS 13, REB 8, AST 5, FG 5-7, 3PT 2-3",Veronica Burton,"PTS 12, REB 2, AST 3, STL 2, BLK 2",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856994
WNBA,20260616,Toronto Tempo at Indiana Fever,Final,Indiana Fever,Toronto Tempo,Toronto Tempo 91 - Indiana Fever 113,Indiana Fever defeat Toronto Tempo,Caitlin Clark,"PTS 21, REB 5, AST 14, STL 1, BLK 1",Aliyah Boston,"PTS 18, REB 11, AST 4, STL 2, BLK 2",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856995
WNBA,20260617,Washington Mystics at Connecticut Sun,Upcoming,,,Washington Mystics 0 - Connecticut Sun 0,Washington Mystics vs. Connecticut Sun,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856996
WNBA,20260617,New York Liberty at Chicago Sky,Upcoming,,,New York Liberty 0 - Chicago Sky 0,New York Liberty vs. Chicago Sky,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856997
WNBA,20260617,Dallas Wings at Golden State Valkyries,Upcoming,,,Dallas Wings 0 - Golden State Valkyries 0,Dallas Wings vs. Golden State Valkyries,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856998
WNBA,20260617,Minnesota Lynx at Los Angeles Sparks,Upcoming,,,Minnesota Lynx 0 - Los Angeles Sparks 0,Minnesota Lynx vs. Los Angeles Sparks,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856999
WNBA,20260617,Las Vegas Aces at Phoenix Mercury,Upcoming,,,Las Vegas Aces 0 - Phoenix Mercury 0,Las Vegas Aces vs. Phoenix Mercury,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401857000
WNBA,20260617,Seattle Storm at Portland Fire,Upcoming,,,Seattle Storm 0 - Portland Fire 0,Seattle Storm vs. Portland Fire,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401857001
