sport_group,league_label,event_id,game_date_utc,scoreboard_date,status_detail,status_bucket,game_state,source,source_type,confidence,manual_review_flag,matchup,away_team,away_abbrev,away_score,away_record,away_logo,home_team,home_abbrev,home_score,home_record,home_logo,winner,loser,final_score,period_summary,venue,headline,primary_storyline,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,result_graphic_ready,source_url
WNBA,WNBA,401856992,2026-06-16T00:00Z,20260615,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Las Vegas Aces at Dallas Wings,Las Vegas Aces,LV,66,"10-4, 3-2, 7-2",,Dallas Wings,DAL,96,"9-5, 5-2, 4-3",,Dallas Wings,Las Vegas Aces,Las Vegas Aces 66 - Dallas Wings 96,DAL: 29 | 27 | 18 | 22 || LV: 20 | 17 | 16 | 13,College Park Center,Dallas Wings defeat Las Vegas Aces,"Jessica Shepard led the way with PTS 15, REB 15, AST 9, STL 2, FG 4-6.",Jessica Shepard,"PTS 15, REB 15, AST 9, STL 2, FG 4-6",Arike Ogunbowale,"PTS 22, REB 4, AST 7, STL 2, FG 6-16",Yes,https://www.espn.com/basketball/game/_/gameId/401856992
WNBA,WNBA,401856993,2026-06-16T00:00Z,20260615,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Portland Fire at Minnesota Lynx,Portland Fire,POR,74,"7-9, 5-5, 2-4",,Minnesota Lynx,MIN,107,"11-3, 6-2, 5-1",,Minnesota Lynx,Portland Fire,Portland Fire 74 - Minnesota Lynx 107,MIN: 35 | 25 | 25 | 22 || POR: 21 | 19 | 19 | 15,Target Center,Minnesota Lynx defeat Portland Fire,"Nia Coffey led the way with PTS 15, REB 5, AST 4, STL 3, BLK 3.",Nia Coffey,"PTS 15, REB 5, AST 4, STL 3, BLK 3",Natasha Howard,"PTS 18, REB 6, AST 1, STL 2, FG 6-11",Yes,https://www.espn.com/basketball/game/_/gameId/401856993
WNBA,WNBA,401856994,2026-06-16T02:00Z,20260615,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Los Angeles Sparks at Golden State Valkyries,Los Angeles Sparks,LA,58,"7-7, 2-5, 5-2",,Golden State Valkyries,GS,78,"9-5, 6-2, 3-3",,Golden State Valkyries,Los Angeles Sparks,Los Angeles Sparks 58 - Golden State Valkyries 78,GS: 25 | 20 | 16 | 17 || LA: 10 | 16 | 21 | 11,Chase Center,Golden State Valkyries defeat Los Angeles Sparks,"Kaila Charles led the way with PTS 13, REB 8, AST 5, FG 5-7, 3PT 2-3.",Kaila Charles,"PTS 13, REB 8, AST 5, FG 5-7, 3PT 2-3",Veronica Burton,"PTS 12, REB 2, AST 3, STL 2, BLK 2",Yes,https://www.espn.com/basketball/game/_/gameId/401856994
WNBA,WNBA,401856995,2026-06-16T23:00Z,20260616,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Toronto Tempo at Indiana Fever,Toronto Tempo,TOR,91,"7-8, 4-3, 3-5",,Indiana Fever,IND,113,"9-5, 6-2, 3-3",,Indiana Fever,Toronto Tempo,Toronto Tempo 91 - Indiana Fever 113,IND: 26 | 27 | 32 | 28 || TOR: 20 | 30 | 23 | 18,Gainbridge Fieldhouse,Indiana Fever defeat Toronto Tempo,"Caitlin Clark led the way with PTS 21, REB 5, AST 14, STL 1, BLK 1.",Caitlin Clark,"PTS 21, REB 5, AST 14, STL 1, BLK 1",Aliyah Boston,"PTS 18, REB 11, AST 4, STL 2, BLK 2",Yes,https://www.espn.com/basketball/game/_/gameId/401856995
WNBA,WNBA,401856996,2026-06-17T23:00Z,20260617,"Wed, June 17th at 7:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Washington Mystics at Connecticut Sun,Washington Mystics,WSH,0,"5-7, 2-3, 3-4",,Connecticut Sun,CON,0,"2-13, 1-5, 1-8",,,,Washington Mystics 0 - Connecticut Sun 0,,Mohegan Sun Arena,Washington Mystics vs. Connecticut Sun,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856996
WNBA,WNBA,401856997,2026-06-18T00:00Z,20260617,"Wed, June 17th at 8:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,New York Liberty at Chicago Sky,New York Liberty,NY,0,"10-4, 6-3, 4-1",,Chicago Sky,CHI,0,"4-9, 1-5, 3-4",,,,New York Liberty 0 - Chicago Sky 0,,Wintrust Arena,New York Liberty vs. Chicago Sky,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856997
WNBA,WNBA,401856998,2026-06-18T02:00Z,20260617,"Wed, June 17th at 10:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Dallas Wings at Golden State Valkyries,Dallas Wings,DAL,0,"9-5, 5-2, 4-3",,Golden State Valkyries,GS,0,"9-5, 6-2, 3-3",,,,Dallas Wings 0 - Golden State Valkyries 0,,Chase Center,Dallas Wings vs. Golden State Valkyries,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856998
WNBA,WNBA,401856999,2026-06-18T02:00Z,20260617,"Wed, June 17th at 10:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Minnesota Lynx at Los Angeles Sparks,Minnesota Lynx,MIN,0,"11-3, 6-2, 5-1",,Los Angeles Sparks,LA,0,"7-7, 2-5, 5-2",,,,Minnesota Lynx 0 - Los Angeles Sparks 0,,crypto.com Arena,Minnesota Lynx vs. Los Angeles Sparks,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856999
WNBA,WNBA,401857000,2026-06-18T02:00Z,20260617,"Wed, June 17th at 10:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Las Vegas Aces at Phoenix Mercury,Las Vegas Aces,LV,0,"10-4, 3-2, 7-2",,Phoenix Mercury,PHX,0,"4-11, 1-5, 3-6",,,,Las Vegas Aces 0 - Phoenix Mercury 0,,Mortgage Matchup Center,Las Vegas Aces vs. Phoenix Mercury,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401857000
WNBA,WNBA,401857001,2026-06-18T02:00Z,20260617,"Wed, June 17th at 10:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Seattle Storm at Portland Fire,Seattle Storm,SEA,0,"3-12, 2-6, 1-6",,Portland Fire,POR,0,"7-9, 5-5, 2-4",,,,Seattle Storm 0 - Portland Fire 0,,Moda Center,Seattle Storm vs. Portland Fire,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401857001
