event_id,league_label,matchup,game_state,winner,loser,final_score,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,period_summary,confidence,manual_review_flag,source_url
401856992,WNBA,Las Vegas Aces at Dallas Wings,Final,Dallas Wings,Las Vegas Aces,Las Vegas Aces 66 - Dallas Wings 96,Jessica Shepard,"PTS 15, REB 15, AST 9, STL 2, FG 4-6",Arike Ogunbowale,"PTS 22, REB 4, AST 7, STL 2, FG 6-16",DAL: 29 | 27 | 18 | 22 || LV: 20 | 17 | 16 | 13,High,No,https://www.espn.com/basketball/game/_/gameId/401856992
401856993,WNBA,Portland Fire at Minnesota Lynx,Final,Minnesota Lynx,Portland Fire,Portland Fire 74 - Minnesota Lynx 107,Nia Coffey,"PTS 15, REB 5, AST 4, STL 3, BLK 3",Natasha Howard,"PTS 18, REB 6, AST 1, STL 2, FG 6-11",MIN: 35 | 25 | 25 | 22 || POR: 21 | 19 | 19 | 15,High,No,https://www.espn.com/basketball/game/_/gameId/401856993
401856994,WNBA,Los Angeles Sparks at Golden State Valkyries,Final,Golden State Valkyries,Los Angeles Sparks,Los Angeles Sparks 58 - Golden State Valkyries 78,Kaila Charles,"PTS 13, REB 8, AST 5, FG 5-7, 3PT 2-3",Veronica Burton,"PTS 12, REB 2, AST 3, STL 2, BLK 2",GS: 25 | 20 | 16 | 17 || LA: 10 | 16 | 21 | 11,High,No,https://www.espn.com/basketball/game/_/gameId/401856994
401856995,WNBA,Toronto Tempo at Indiana Fever,Final,Indiana Fever,Toronto Tempo,Toronto Tempo 91 - Indiana Fever 113,Caitlin Clark,"PTS 21, REB 5, AST 14, STL 1, BLK 1",Aliyah Boston,"PTS 18, REB 11, AST 4, STL 2, BLK 2",IND: 26 | 27 | 32 | 28 || TOR: 20 | 30 | 23 | 18,High,No,https://www.espn.com/basketball/game/_/gameId/401856995
401856996,WNBA,Washington Mystics at Connecticut Sun,Upcoming,,,Washington Mystics 0 - Connecticut Sun 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856996
401856997,WNBA,New York Liberty at Chicago Sky,Upcoming,,,New York Liberty 0 - Chicago Sky 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856997
401856998,WNBA,Dallas Wings at Golden State Valkyries,Upcoming,,,Dallas Wings 0 - Golden State Valkyries 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856998
401856999,WNBA,Minnesota Lynx at Los Angeles Sparks,Upcoming,,,Minnesota Lynx 0 - Los Angeles Sparks 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856999
401857000,WNBA,Las Vegas Aces at Phoenix Mercury,Upcoming,,,Las Vegas Aces 0 - Phoenix Mercury 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401857000
401857001,WNBA,Seattle Storm at Portland Fire,Upcoming,,,Seattle Storm 0 - Portland Fire 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401857001
