posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,201,1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,193,2,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,159,4,Top seeds Siniakova and Townsend clinch French Open women's doubles title,Maybe Post,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post 3rd,"Strong candidate, but not mandatory."
4,152,5,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,123,6,"If she wins U.S. Women's Open, Nelly Korda will match one of the greatest achievements in American golf history",Save for Weekend,Golf / LPGA,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
6,123,7,Seattle Torrent Sign Alex Carpenter To A Three-Year Extension Through 2028-29 Protecting Her From PWHL Expansion,Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
7,117,9,Nebraska Softball Sets Record for Most-Watched WCWS Opening Thursday Broadcast,Save for Weekend,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,116,8,Serena Williams Announces Return to Professional Tennis Stream of Tennis,Save for Weekend,Tennis,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
9,115,3,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
10,110,10,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Tennis,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
