rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Tonight in the W 4-Slide Template,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,WNBA gameday discussion: Can the Toronto Tempo and,The story you need to know.
1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Tonight in the W 4-Slide Template,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Tonight in the W 4-Slide Template,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for WNBA fans."
1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Tonight in the W 4-Slide Template,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,Indiana Fever vs. New York Liberty - Final Score -,The story you need to know.
2,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
2,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for WNBA fans."
2,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Tonight in the W 4-Slide Template,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,‘This Fall From Grace Needs to Be Studied’ — WNBA,The story you need to know.
3,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Tonight in the W 4-Slide Template,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Tonight in the W 4-Slide Template,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
3,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Tonight in the W 4-Slide Template,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,Top seeds Siniakova and Townsend clinch French Open women's doubles title,Postgame Recap Template,Top seeds Siniakova and Townsend clinch French Open women's doubles,"What happened, who stood out, and why it matters for Women's Sports fans.",More women's sports daily,1,Hook,Top seeds Siniakova and Townsend clinch French Open,The story you need to know.
4,Top seeds Siniakova and Townsend clinch French Open women's doubles title,Postgame Recap Template,Top seeds Siniakova and Townsend clinch French Open women's doubles,"What happened, who stood out, and why it matters for Women's Sports fans.",More women's sports daily,2,Context,What happened,This is timely Women's Sports coverage with a result fans may want explained quickly.
