source_name,sport_or_league,date,http_status,ok,events_found,observations_emitted,stale_rejected,notes
api_sports,basketball,2026-06-08,200,Yes,0,0,0,ok
api_sports,basketball,2026-06-09,200,Yes,0,0,0,ok
api_sports,basketball,2026-06-10,200,Yes,0,0,0,ok
api_sports,soccer,2026-06-08,200,Yes,0,0,0,ok
api_sports,soccer,2026-06-09,200,Yes,0,0,0,ok
api_sports,soccer,2026-06-10,200,Yes,0,0,0,ok
api_sports,volleyball,2026-06-08,200,Yes,0,0,0,ok
api_sports,volleyball,2026-06-09,200,Yes,0,0,0,ok
api_sports,volleyball,2026-06-10,200,Yes,0,0,0,ok
api_sports,rugby,2026-06-08,200,Yes,0,0,0,ok
api_sports,rugby,2026-06-09,200,Yes,0,0,0,ok
api_sports,rugby,2026-06-10,200,Yes,0,0,0,ok
api_sports,handball,2026-06-08,200,Yes,0,0,0,ok
api_sports,handball,2026-06-09,200,Yes,0,0,0,ok
api_sports,handball,2026-06-10,200,Yes,0,0,0,ok
api_sports,hockey,2026-06-08,200,Yes,0,0,0,ok
api_sports,hockey,2026-06-09,200,Yes,0,0,0,ok
api_sports,hockey,2026-06-10,200,Yes,0,0,0,ok
api_sports,baseball,2026-06-08,200,Yes,0,0,0,ok
api_sports,baseball,2026-06-09,200,Yes,0,0,0,ok
api_sports,baseball,2026-06-10,200,Yes,0,0,0,ok
espn_wnba,WNBA,20260608,200,Yes,3,3,0,ok
espn_wnba,WNBA,20260609,200,Yes,3,3,0,ok
espn_wnba,WNBA,20260610,200,Yes,2,2,0,ok
